Node 1 (id),Node 2 (id),Path type,Path,Delay (ms)
11,18,Main,[ 11 13 17 18 ],12.8162
11,19,Main,[ 11 13 17 19 ],16.006
11,20,Main,[ 11 13 17 20 ],17.0053
11,21,Main,[ 11 13 15 21 ],8.99353
11,22,Main,[ 11 13 22 ],10.4951
11,23,Main,[ 11 13 22 23 ],11.2803
11,24,Main,[ 11 12 24 ],7.4107
12,13,Main,[ 12 13 ],1.76499
12,15,Main,[ 12 13 15 ],6.46402
12,16,Main,[ 12 13 16 ],4.93195
12,17,Main,[ 12 13 17 ],12.4735
12,18,Main,[ 12 13 17 18 ],13.007
12,19,Main,[ 12 13 17 19 ],16.1969
12,20,Main,[ 12 13 17 20 ],17.1962
12,21,Main,[ 12 13 15 21 ],9.1844
12,22,Main,[ 12 13 22 ],10.686
12,23,Main,[ 12 13 22 23 ],11.4712
12,24,Main,[ 12 24 ],6.05674
13,15,Main,[ 13 15 ],4.69903
13,16,Main,[ 13 16 ],3.16696
13,17,Main,[ 13 17 ],10.7085
13,18,Main,[ 13 17 18 ],11.2421
13,19,Main,[ 13 17 19 ],14.4319
13,20,Main,[ 13 17 20 ],15.4312
13,21,Main,[ 13 15 21 ],7.41941
13,22,Main,[ 13 22 ],8.92101
13,23,Main,[ 13 22 23 ],9.70617
13,24,Main,[ 13 22 24 ],11.494
15,16,Main,[ 15 16 ],4.06078
15,17,Main,[ 15 17 ],6.92716
15,18,Main,[ 15 17 18 ],7.46072
15,19,Main,[ 15 17 19 ],10.6505
15,20,Main,[ 15 17 20 ],11.6499
15,21,Main,[ 15 21 ],2.72038
15,22,Main,[ 15 21 22 ],6.82155
15,23,Main,[ 15 21 22 23 ],7.60672
15,24,Main,[ 15 21 22 24 ],9.39453
16,17,Main,[ 16 17 ],10.9789
16,18,Main,[ 16 17 18 ],11.5125
16,19,Main,[ 16 17 19 ],14.7023
16,20,Main,[ 16 17 20 ],15.7016
16,21,Main,[ 16 17 21 ],15.3442
16,22,Main,[ 16 17 22 ],13.4425
16,23,Main,[ 16 17 22 23 ],14.2276
16,24,Main,[ 16 17 22 24 ],16.0154
17,18,Main,[ 17 18 ],0.533558
17,19,Main,[ 17 19 ],3.72339
17,20,Main,[ 17 20 ],4.7227
17,21,Main,[ 17 21 ],4.3653
17,22,Main,[ 17 22 ],2.46353
17,23,Main,[ 17 22 23 ],3.2487
17,24,Main,[ 17 22 24 ],5.03651
18,21,Main,[ 18 21 ],3.88792
18,22,Main,[ 18 21 22 ],7.9891
18,23,Main,[ 18 21 22 23 ],8.77426
18,24,Main,[ 18 21 22 24 ],10.5621
19,20,Main,[ 19 20 ],1.00801
21,22,Main,[ 21 22 ],4.10118
21,23,Main,[ 21 22 23 ],4.88634
21,24,Main,[ 21 22 24 ],6.67415
22,23,Main,[ 22 23 ],0.785163
22,24,Main,[ 22 24 ],2.57298
23,24,Main,[ 23 24 ],2.14835
